Mode      Freq_Hz       Force_UZ      Sens1_UZ      Sens2_UZ      Sens3_UZ      Root_SEQ
    1.,     11.0824,  0.595678E+00, -0.144202E-03,  0.388952E-02,  0.110268E-01,  0.207121E+10
    2.,     50.9345,  0.358195E+00,  0.157126E-02,  0.285727E-01,  0.236368E-02,  0.283786E+10
    3.,     78.9910,  0.928485E+00,  0.152751E-02,  0.150482E-02, -0.887780E-01,  0.134864E+11
    4.,    133.9045,  0.584205E+00, -0.812896E-02, -0.722634E-01,  0.798859E-03,  0.393795E+10
    5.,    225.1654,  0.516798E+00, -0.139088E-01, -0.367058E-01,  0.206577E+00,  0.312915E+11
    6.,    247.9430,  0.824703E+00,  0.228546E-01,  0.100101E+00,  0.770858E-01,  0.123953E+11
    7.,    368.1784,  0.257397E-12, -0.179813E-13, -0.940511E-13,  0.477393E-13,  0.468678E+11
    8.,    376.6855,  0.114498E+00, -0.640407E-01, -0.703216E-01,  0.453136E-01,  0.124087E+11
    9.,    436.4568,  0.304270E+00, -0.101580E-01, -0.792060E-01, -0.273012E+00,  0.444045E+11
   10.,    532.8799, -0.670598E-01, -0.687981E-01,  0.100401E+00, -0.268289E+00,  0.348989E+11
   11.,    549.6270, -0.691849E+00,  0.992772E-01,  0.606066E-01, -0.771454E-01,  0.100941E+11
   12.,    696.1418, -0.877532E+00, -0.490329E-01,  0.132543E+00,  0.318519E+00,  0.495447E+11
   13.,    713.1976,  0.131378E+01,  0.101173E+00,  0.127457E+00, -0.232130E+00,  0.302437E+11
   14.,    761.6159, -0.241368E+00, -0.174351E+00,  0.171586E+00, -0.386142E+00,  0.529217E+11
   15.,    964.1687,  0.131466E+01, -0.224450E+00, -0.107226E+00,  0.397250E+00,  0.511104E+11
   16.,    977.9312, -0.955858E+00,  0.148664E+00, -0.360189E+00, -0.141562E+00,  0.186946E+11
   17.,   1077.2647, -0.603285E+00, -0.222535E+00,  0.142054E+00, -0.512215E+00,  0.787120E+11
   18.,   1261.4664,  0.875555E-01,  0.315562E-01,  0.466783E+00,  0.474929E-01,  0.374997E+11
   19.,   1262.9114,  0.867180E-11, -0.110707E-11,  0.371018E-11,  0.819639E-11,  0.479158E+11
   20.,   1316.9772, -0.883387E+00, -0.476884E+00,  0.114873E+00,  0.378746E+00,  0.514387E+11
